time, theta_1, theta_2, phase_diff
2.280000, -0.404574, 0.418431, 3.126388

2.290000, -0.164657, 0.179192, 3.126837

2.300000, 0.085595, -0.071320, 3.127273

2.310000, 0.330483, -0.317336, 3.127697

2.320000, 0.554646, -0.543375, 3.128107

2.330000, 0.744019, -0.735211, 3.128506

2.340000, 0.886719, -0.880776, 3.128893

2.350000, 0.973790, -0.970913, 3.129268

2.360000, 0.999765, -0.999953, 3.129632

2.370000, 0.963010, -0.966073, 3.129986

2.380000, 0.865827, -0.871408, 3.130329

2.390000, 0.714312, -0.721919, 3.130661

2.400000, 0.517969, -0.527014, 3.130985

2.410000, 0.289117, -0.298956, 3.131298

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

