time, theta_1, theta_2, phase_diff
2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

2.420000, 0.042116, -0.052095, 3.131602

