initial_phase_difference, sync_required_time
1.291195, 2.020000
1.294336, 2.020000
1.297478, 2.020000
1.300619, 2.010000
1.303761, 2.010000
1.306903, 2.010000
1.310044, 2.010000
1.313186, 2.010000
1.316327, 2.000000
1.319469, 2.000000
1.322611, 2.000000
1.325752, 2.000000
1.328894, 2.000000
1.332035, 2.000000
1.335177, 1.990000
1.338318, 1.990000
1.341460, 1.990000
1.344602, 1.990000
1.347743, 1.990000
1.350885, 1.980000
1.354026, 1.980000
1.357168, 1.980000
1.360310, 1.980000
1.363451, 1.980000
1.366593, 1.980000
1.369734, 1.970000
1.372876, 1.970000
1.376018, 1.970000
1.379159, 1.970000
1.382301, 1.970000
1.385442, 1.960000
1.388584, 1.960000
1.391726, 1.960000
1.394867, 1.960000
1.398009, 1.960000
1.401150, 1.960000
1.404292, 1.950000
1.407434, 1.950000
1.410575, 1.950000
1.413717, 1.950000
1.416858, 1.950000
1.420000, 1.950000
1.423141, 1.940000
1.426283, 1.940000
1.429425, 1.940000
1.432566, 1.940000
1.435708, 1.940000
1.438849, 1.940000
1.441991, 1.930000
1.445133, 1.930000
1.448274, 1.930000
1.451416, 1.930000
1.454557, 1.930000
1.457699, 1.930000
1.460841, 1.920000
1.463982, 1.920000
1.467124, 1.920000
1.470265, 1.920000
1.473407, 1.920000
1.476549, 1.920000
1.479690, 1.910000
1.482832, 1.910000
1.485973, 1.910000
1.489115, 1.910000
1.492257, 1.910000
1.495398, 1.910000
1.498540, 1.900000
1.501681, 1.900000
1.504823, 1.900000
1.507964, 1.900000
1.511106, 1.900000
1.514248, 1.900000
1.517389, 1.890000
1.520531, 1.890000
1.523672, 1.890000
1.526814, 1.890000
1.529956, 1.890000
1.533097, 1.890000
1.536239, 1.880000
1.539380, 1.880000
1.542522, 1.880000
1.545664, 1.880000
1.548805, 1.880000
1.551947, 1.880000
1.555088, 1.870000
1.558230, 1.870000
1.561372, 1.870000
1.564513, 1.870000
1.567655, 1.870000
1.570796, 1.870000
1.573938, 1.870000
1.577080, 1.860000
1.580221, 1.860000
1.583363, 1.860000
1.586504, 1.860000
1.589646, 1.860000
1.592787, 1.860000
1.595929, 1.850000
1.599071, 1.850000
1.602212, 1.850000
1.605354, 1.850000
1.608495, 1.850000
1.611637, 1.850000
1.614779, 1.850000
1.617920, 1.840000
1.621062, 1.840000
1.624203, 1.840000
1.627345, 1.840000
1.630487, 1.840000
1.633628, 1.840000
1.636770, 1.830000
1.639911, 1.830000
1.643053, 1.830000
1.646195, 1.830000
1.649336, 1.830000
1.652478, 1.830000
1.655619, 1.830000
1.658761, 1.820000
1.661903, 1.820000
1.665044, 1.820000
1.668186, 1.820000
1.671327, 1.820000
1.674469, 1.820000
1.677610, 1.810000
1.680752, 1.810000
1.683894, 1.810000
1.687035, 1.810000
1.690177, 1.810000
1.693318, 1.810000
1.696460, 1.810000
1.699602, 1.800000
1.702743, 1.800000
1.705885, 1.800000
1.709026, 1.800000
1.712168, 1.800000
1.715310, 1.800000
1.718451, 1.800000
1.721593, 1.790000
1.724734, 1.790000
1.727876, 1.790000
1.731018, 1.790000
1.734159, 1.790000
1.737301, 1.790000
1.740442, 1.790000
1.743584, 1.780000
1.746726, 1.780000
1.749867, 1.780000
1.753009, 1.780000
1.756150, 1.780000
1.759292, 1.780000
1.762433, 1.770000
1.765575, 1.770000
1.768717, 1.770000
1.771858, 1.770000
1.775000, 1.770000
1.778141, 1.770000
1.781283, 1.770000
1.784425, 1.760000
1.787566, 1.760000
1.790708, 1.760000
1.793849, 1.760000
1.796991, 1.760000
1.800133, 1.760000
1.803274, 1.760000
1.806416, 1.750000
1.809557, 1.750000
1.812699, 1.750000
1.815841, 1.750000
1.818982, 1.750000
1.822124, 1.750000
1.825265, 1.750000
1.828407, 1.740000
1.831549, 1.740000
1.834690, 1.740000
1.837832, 1.740000
1.840973, 1.740000
1.844115, 1.740000
1.847256, 1.740000
1.850398, 1.730000
1.853540, 1.730000
1.856681, 1.730000
1.859823, 1.730000
1.862964, 1.730000
1.866106, 1.730000
1.869248, 1.730000
1.872389, 1.720000
1.875531, 1.720000
1.878672, 1.720000
1.881814, 1.720000
1.884956, 1.720000
1.888097, 1.720000
1.891239, 1.720000
1.894380, 1.710000
1.897522, 1.710000
1.900664, 1.710000
1.903805, 1.710000
1.906947, 1.710000
1.910088, 1.710000
1.913230, 1.710000
1.916372, 1.700000
1.919513, 1.700000
1.922655, 1.700000
1.925796, 1.700000
1.928938, 1.700000
1.932079, 1.700000
1.935221, 1.700000
1.938363, 1.690000
1.941504, 1.690000
1.944646, 1.690000
1.947787, 1.690000
1.950929, 1.690000
1.954071, 1.690000
1.957212, 1.690000
1.960354, 1.680000
1.963495, 1.680000
1.966637, 1.680000
1.969779, 1.680000
1.972920, 1.680000
1.976062, 1.680000
1.979203, 1.680000
1.982345, 1.670000
1.985487, 1.670000
1.988628, 1.670000
1.991770, 1.670000
1.994911, 1.670000
1.998053, 1.670000
2.001195, 1.670000
2.004336, 1.660000
2.007478, 1.660000
2.010619, 1.660000
2.013761, 1.660000
2.016902, 1.660000
2.020044, 1.660000
2.023186, 1.660000
2.026327, 1.650000
2.029469, 1.650000
2.032610, 1.650000
2.035752, 1.650000
2.038894, 1.650000
2.042035, 1.650000
2.045177, 1.650000
2.048318, 1.640000
2.051460, 1.640000
2.054602, 1.640000
2.057743, 1.640000
2.060885, 1.640000
2.064026, 1.640000
2.067168, 1.640000
2.070310, 1.630000
2.073451, 1.630000
2.076593, 1.630000
2.079734, 1.630000
2.082876, 1.630000
2.086018, 1.630000
2.089159, 1.630000
2.092301, 1.620000
2.095442, 1.620000
2.098584, 1.620000
2.101725, 1.620000
2.104867, 1.620000
2.108009, 1.620000
2.111150, 1.620000
2.114292, 1.610000
2.117433, 1.610000
2.120575, 1.610000
2.123717, 1.610000
2.126858, 1.610000
2.130000, 1.610000
2.133141, 1.610000
2.136283, 1.600000
2.139425, 1.600000
2.142566, 1.600000
2.145708, 1.600000
2.148849, 1.600000
2.151991, 1.600000
2.155133, 1.590000
2.158274, 1.590000
2.161416, 1.590000
2.164557, 1.590000
2.167699, 1.590000
2.170841, 1.590000
2.173982, 1.590000
2.177124, 1.580000
2.180265, 1.580000
2.183407, 1.580000
2.186548, 1.580000
2.189690, 1.580000
2.192832, 1.580000
2.195973, 1.580000
2.199115, 1.570000
2.202256, 1.570000
2.205398, 1.570000
2.208540, 1.570000
2.211681, 1.570000
2.214823, 1.570000
2.217964, 1.560000
2.221106, 1.560000
2.224248, 1.560000
2.227389, 1.560000
2.230531, 1.560000
2.233672, 1.560000
2.236814, 1.560000
2.239956, 1.550000
2.243097, 1.550000
2.246239, 1.550000
2.249380, 1.550000
2.252522, 1.550000
2.255664, 1.550000
2.258805, 1.550000
2.261947, 1.540000
2.265088, 1.540000
2.268230, 1.540000
2.271371, 1.540000
2.274513, 1.540000
2.277655, 1.540000
2.280796, 1.530000
2.283938, 1.530000
2.287079, 1.530000
2.290221, 1.530000
2.293363, 1.530000
2.296504, 1.530000
2.299646, 1.520000
2.302787, 1.520000
2.305929, 1.520000
2.309071, 1.520000
2.312212, 1.520000
2.315354, 1.520000
2.318495, 1.520000
2.321637, 1.510000
2.324779, 1.510000
2.327920, 1.510000
2.331062, 1.510000
2.334203, 1.510000
2.337345, 1.510000
2.340487, 1.500000
2.343628, 1.500000
2.346770, 1.500000
2.349911, 1.500000
2.353053, 1.500000
2.356194, 1.500000
2.359336, 1.490000
2.362478, 1.490000
2.365619, 1.490000
2.368761, 1.490000
2.371902, 1.490000
2.375044, 1.490000
2.378186, 1.480000
2.381327, 1.480000
2.384469, 1.480000
2.387610, 1.480000
2.390752, 1.480000
2.393894, 1.480000
2.397035, 1.470000
2.400177, 1.470000
2.403318, 1.470000
2.406460, 1.470000
2.409602, 1.470000
2.412743, 1.470000
2.415885, 1.460000
2.419026, 1.460000
