gamma, StableEquil_1, StableEquil_2, UnstableEquil_1, UnstableEquil_2
0.445, 0.000000, 3.147876, 0.006283, -1
0.446, 0.000000, 3.147876, 0.006283, -1
0.447, 0.000000, 3.147876, 0.006283, -1
0.448, 0.000000, 3.147876, 0.006283, -1
0.449, 0.000000, 3.147876, 0.006283, -1
0.450, 0.000000, 3.147876, 0.006283, -1
0.451, 0.000000, 3.147876, 0.006283, -1
0.452, 0.000000, 3.147876, 0.006283, -1
0.453, 0.000000, 3.147876, 0.006283, -1
0.454, 0.000000, 3.147876, 0.006283, -1
0.455, 0.000000, 3.147876, 0.006283, -1
0.456, 0.000000, 3.147876, 0.006283, -1
0.457, 0.000000, 3.147876, 0.006283, -1
0.458, 0.000000, 3.147876, 0.006283, -1
0.459, 0.000000, 3.147876, 0.006283, -1
0.460, 0.000000, 3.147876, 0.006283, -1
0.461, 0.000000, 3.147876, 0.006283, -1
0.462, 0.000000, 3.147876, 0.006283, -1
0.463, 0.000000, 3.147876, 0.006283, -1
0.464, 0.000000, 3.147876, 0.006283, -1
0.465, 0.000000, 3.147876, 0.006283, -1
0.466, 0.000000, 3.147876, 0.006283, -1
0.467, 0.000000, 3.147876, 0.006283, -1
0.468, 0.000000, 3.147876, 0.006283, -1
0.469, 0.000000, 3.147876, 0.006283, -1
0.470, 0.000000, 3.147876, 0.006283, -1
0.471, 0.000000, 3.147876, 0.006283, -1
0.472, 0.000000, 3.147876, 0.006283, -1
0.473, 0.000000, 3.147876, 0.006283, -1
0.474, 0.000000, 3.147876, 0.006283, -1
0.475, 0.000000, 3.147876, 0.006283, -1
0.476, 0.000000, 3.147876, 0.006283, -1
0.477, 0.000000, 3.147876, 0.006283, -1
0.478, 0.000000, 3.147876, 0.006283, -1
0.479, 0.000000, 3.147876, 0.006283, -1
0.480, 0.000000, 3.147876, 0.006283, -1
0.481, 0.000000, 3.147876, 0.006283, -1
0.482, 0.000000, 3.147876, 0.006283, -1
0.483, 0.000000, 3.147876, 0.006283, -1
0.484, 0.000000, 3.147876, 0.006283, -1
0.485, 0.000000, 3.147876, 0.006283, -1
0.486, 0.000000, 3.147876, 0.006283, -1
0.487, 0.000000, 3.147876, 0.006283, -1
0.488, 0.000000, 3.147876, 0.006283, -1
0.489, 0.000000, 3.147876, 0.006283, -1
0.490, 0.000000, 3.147876, 0.006283, -1
0.491, 0.000000, 3.147876, 0.006283, -1
0.492, 0.000000, 3.147876, 0.006283, -1
0.493, 0.000000, 3.147876, 0.006283, -1
