phi_12, phi_13
0.062832, 3.776194
0.065973, 2.569823
0.065973, 2.572964
0.065973, 3.776194
0.069115, 2.572964
0.069115, 3.776194
0.069115, 3.779336
0.072257, 2.572964
0.072257, 2.576106
0.072257, 3.779336
0.075398, 2.576106
0.075398, 3.779336
0.075398, 3.782478
0.078540, 2.576106
0.078540, 2.579248
0.078540, 3.782478
0.081681, 2.579248
0.081681, 3.782478
0.081681, 3.785619
0.084823, 2.579248
0.084823, 2.582389
0.084823, 3.785619
0.087965, 2.582389
0.087965, 3.785619
0.087965, 3.788761
0.091106, 2.582389
0.091106, 2.585531
0.091106, 3.788761
0.094248, 2.585531
0.094248, 3.788761
0.094248, 3.791902
0.097389, 2.585531
0.097389, 2.588672
0.097389, 3.791902
0.100531, 2.588672
0.100531, 2.591814
0.100531, 3.791902
0.103673, 2.591814
0.103673, 3.791902
0.103673, 3.795044
0.106814, 2.591814
0.106814, 2.594956
0.106814, 3.795044
0.109956, 2.594956
0.109956, 3.795044
0.109956, 3.798186
0.113097, 2.594956
0.113097, 2.598097
0.113097, 3.798186
0.116239, 2.598097
0.116239, 3.798186
0.116239, 3.801327
0.119381, 2.598097
0.119381, 2.601239
0.119381, 3.801327
0.122522, 2.601239
0.122522, 3.801327
0.122522, 3.804469
0.125664, 2.601239
0.125664, 2.604380
0.125664, 3.804469
0.128805, 2.604380
0.128805, 2.607522
0.128805, 3.804469
0.131947, 2.607522
0.131947, 3.804469
0.131947, 3.807610
0.135088, 2.607522
0.135088, 2.610663
0.135088, 3.807610
0.138230, 2.610663
0.138230, 3.807610
0.138230, 3.810752
0.141372, 2.610663
0.141372, 2.613805
0.141372, 3.810752
0.144513, 2.613805
0.144513, 3.810752
0.144513, 3.813893
0.147655, 2.613805
0.147655, 2.616947
0.147655, 3.813893
0.150796, 2.616947
0.150796, 2.620088
0.150796, 3.813893
0.153938, 2.620088
0.153938, 3.813893
0.153938, 3.817035
0.157080, 2.620088
0.157080, 2.623230
0.157080, 3.817035
0.160221, 2.623230
0.160221, 3.817035
0.160221, 3.820177
0.163363, 2.623230
0.163363, 2.626371
0.163363, 3.820177
0.166504, 2.626371
0.166504, 2.629513
0.166504, 3.820177
0.169646, 2.629513
0.169646, 3.820177
0.169646, 3.823318
0.172788, 2.629513
0.172788, 2.632655
0.172788, 3.823318
0.175929, 2.632655
0.175929, 3.823318
0.175929, 3.826460
0.179071, 2.632655
0.179071, 2.635796
0.179071, 3.826460
0.182212, 2.635796
0.182212, 2.638938
0.182212, 3.826460
0.185354, 2.638938
0.185354, 3.826460
0.185354, 3.829601
0.188496, 2.638938
0.188496, 2.642079
0.188496, 3.829601
0.191637, 2.642079
0.191637, 3.829601
0.191637, 3.832743
0.194779, 2.642079
0.194779, 2.645221
0.194779, 3.832743
0.197920, 2.645221
0.197920, 2.648363
0.197920, 3.832743
0.201062, 2.648363
0.201062, 3.832743
0.201062, 3.835885
0.204204, 2.648363
0.204204, 2.651504
0.204204, 3.835885
0.207345, 2.651504
0.207345, 3.835885
0.207345, 3.839026
0.210487, 2.651504
0.210487, 2.654646
0.210487, 3.839026
0.213628, 2.654646
0.213628, 2.657787
0.213628, 3.839026
0.216770, 2.657787
0.216770, 3.839026
0.216770, 3.842168
0.219911, 2.657787
0.219911, 2.660929
0.219911, 3.842168
0.223053, 2.660929
0.223053, 3.842168
0.223053, 3.845309
0.226195, 2.660929
0.226195, 2.664071
0.226195, 3.845309
0.229336, 2.664071
0.229336, 2.667212
0.229336, 3.845309
0.232478, 2.667212
0.232478, 3.845309
0.232478, 3.848451
0.235619, 2.667212
0.235619, 2.670354
0.235619, 3.848451
0.238761, 2.670354
0.238761, 2.673495
0.238761, 3.848451
0.241903, 2.673495
0.241903, 3.848451
0.241903, 3.851593
0.245044, 2.673495
0.245044, 2.676637
0.245044, 3.851593
0.248186, 2.676637
0.248186, 3.851593
0.248186, 3.854734
0.251327, 2.676637
0.251327, 2.679779
0.251327, 3.854734
0.254469, 2.679779
0.254469, 2.682920
0.254469, 3.854734
0.257611, 2.682920
0.257611, 3.854734
0.257611, 3.857876
0.260752, 2.682920
0.260752, 2.686062
0.260752, 3.857876
0.263894, 2.686062
0.263894, 2.689203
0.263894, 3.857876
0.267035, 2.689203
0.267035, 3.857876
0.267035, 3.861017
0.270177, 2.689203
0.270177, 2.692345
0.270177, 3.861017
0.273319, 2.692345
0.273319, 2.695486
0.273319, 3.861017
0.276460, 2.695486
0.276460, 3.861017
0.276460, 3.864159
0.279602, 2.695486
0.279602, 2.698628
0.279602, 3.864159
0.282743, 2.698628
0.282743, 3.864159
0.282743, 3.867301
0.285885, 2.698628
0.285885, 2.701770
0.285885, 3.867301
0.289027, 2.701770
0.289027, 2.704911
0.289027, 3.867301
0.292168, 2.704911
0.292168, 3.867301
0.292168, 3.870442
0.295310, 2.704911
0.295310, 2.708053
0.295310, 3.870442
0.298451, 2.708053
0.298451, 2.711194
0.298451, 3.870442
0.301593, 2.711194
0.301593, 3.870442
0.301593, 3.873584
0.304734, 2.711194
0.304734, 2.714336
0.304734, 3.873584
0.307876, 2.714336
0.307876, 2.717478
0.307876, 3.873584
0.311018, 2.717478
0.311018, 3.873584
0.311018, 3.876725
0.314159, 2.717478
0.314159, 2.720619
0.314159, 3.876725
0.317301, 2.720619
0.317301, 2.723761
0.317301, 3.876725
0.320442, 2.723761
0.320442, 3.876725
0.320442, 3.879867
0.323584, 2.723761
0.323584, 2.726902
0.323584, 3.879867
0.326726, 2.726902
0.326726, 2.730044
0.326726, 3.879867
0.329867, 2.730044
0.329867, 3.879867
0.329867, 3.883009
0.333009, 2.730044
0.333009, 2.733186
0.333009, 3.883009
0.336150, 2.733186
0.336150, 2.736327
0.336150, 3.883009
0.339292, 2.736327
0.339292, 3.883009
0.339292, 3.886150
0.342434, 2.736327
0.342434, 2.739469
0.342434, 3.886150
0.345575, 2.739469
0.345575, 2.742610
0.345575, 3.886150
0.348717, 2.742610
0.348717, 3.886150
0.348717, 3.889292
0.351858, 2.742610
0.351858, 2.745752
0.351858, 3.889292
0.355000, 2.745752
0.355000, 2.748894
0.355000, 3.889292
0.358142, 2.748894
0.358142, 2.752035
0.358142, 3.889292
0.361283, 2.752035
0.361283, 3.889292
0.361283, 3.892433
0.364425, 2.752035
0.364425, 2.755177
0.364425, 3.892433
0.367566, 2.755177
0.367566, 2.758318
0.367566, 3.892433
0.370708, 2.758318
0.370708, 3.892433
0.370708, 3.895575
0.373850, 2.758318
0.373850, 2.761460
0.373850, 3.895575
0.376991, 2.761460
0.376991, 2.764602
0.376991, 3.895575
0.380133, 2.764602
0.380133, 3.895575
0.380133, 3.898716
0.383274, 2.764602
0.383274, 2.767743
0.383274, 3.898716
0.386416, 2.767743
