phi, gamma0, gamma0.25, gamma0.5, gamma0.75, gamma1.0
3.738495, -1.124167, -1.589055, -2.053943, -2.518831, -2.983720
3.769911, -1.175571, -1.651099, -2.126627, -2.602155, -3.077684
3.801327, -1.225814, -1.710106, -2.194397, -2.678689, -3.162980
3.832743, -1.274848, -1.765992, -2.257135, -2.748279, -3.239422
3.864159, -1.322624, -1.818681, -2.314738, -2.810796, -3.306853
3.895575, -1.369094, -1.868108, -2.367121, -2.866134, -3.365148
3.926991, -1.414214, -1.914214, -2.414214, -2.914214, -3.414214
3.958407, -1.457937, -1.956951, -2.455964, -2.954977, -3.453991
3.989823, -1.500222, -1.996279, -2.492337, -2.988394, -3.484452
4.021239, -1.541026, -2.032170, -2.523314, -3.014457, -3.505601
4.052655, -1.580310, -2.064602, -2.548893, -3.033185, -3.517476
4.084070, -1.618034, -2.093562, -2.569091, -3.044619, -3.520147
4.115486, -1.654161, -2.119049, -2.583938, -3.048826, -3.513714
4.146902, -1.688656, -2.141069, -2.593483, -3.045896, -3.498310
4.178318, -1.721484, -2.159637, -2.597791, -3.035944, -3.474097
4.209734, -1.752613, -2.174777, -2.596941, -3.019105, -3.441269
4.241150, -1.782013, -2.186522, -2.591030, -2.995539, -3.400047
4.272566, -1.809654, -2.194911, -2.580167, -2.965424, -3.350681
4.303982, -1.835509, -2.199994, -2.564478, -2.928962, -3.293447
4.335398, -1.859553, -2.201827, -2.544100, -2.886374, -3.228647
4.366814, -1.881762, -2.200474, -2.519186, -2.837898, -3.156610
4.398230, -1.902113, -2.196006, -2.489898, -2.783791, -3.077684
4.429646, -1.920587, -2.188501, -2.456414, -2.724328, -2.992241
4.461062, -1.937166, -2.178043, -2.418920, -2.659797, -2.900674
4.492477, -1.951834, -2.164723, -2.377613, -2.590502, -2.803392
4.523893, -1.964575, -2.148637, -2.332699, -2.516761, -2.700824
4.555309, -1.975377, -2.129885, -2.284394, -2.438902, -2.593411
4.586725, -1.984229, -2.108574, -2.232919, -2.357264, -2.481609
4.618141, -1.991124, -2.084815, -2.178505, -2.272196, -2.365887
4.649557, -1.996053, -2.058720, -2.121387, -2.184053, -2.246720
4.680973, -1.999013, -2.030408, -2.061804, -2.093199, -2.124594
4.712389, -2.000000, -2.000000, -2.000000, -2.000000, -2.000000
4.743805, -1.999013, -1.967618, -1.936223, -1.904827, -1.873432
4.775221, -1.996053, -1.933387, -1.870720, -1.808054, -1.745387
4.806637, -1.991124, -1.897433, -1.803743, -1.710052, -1.616361
4.838053, -1.984229, -1.859884, -1.735540, -1.611195, -1.486850
4.869469, -1.975377, -1.820868, -1.666360, -1.511851, -1.357343
4.900885, -1.964575, -1.780512, -1.596450, -1.412388, -1.228325
4.932300, -1.951834, -1.738944, -1.526054, -1.313165, -1.100275
4.963716, -1.937166, -1.696289, -1.455413, -1.214536, -0.973659
4.995132, -1.920587, -1.652674, -1.384761, -1.116847, -0.848934
5.026548, -1.902113, -1.608220, -1.314328, -1.020435, -0.726543
5.057964, -1.881762, -1.563050, -1.244338, -0.925626, -0.606914
5.089380, -1.859553, -1.517279, -1.175006, -0.832732, -0.490459
5.120796, -1.835509, -1.471025, -1.106541, -0.742056, -0.377572
5.152212, -1.809654, -1.424397, -1.039141, -0.653884, -0.268628
5.183628, -1.782013, -1.377505, -0.972996, -0.568488, -0.163979
5.215044, -1.752613, -1.330449, -0.908285, -0.486121, -0.063958
5.246460, -1.721484, -1.283331, -0.845177, -0.407024, 0.031129
5.277876, -1.688656, -1.236242, -0.783829, -0.331415, 0.120998
5.309292, -1.654161, -1.189273, -0.724385, -0.259496, 0.205392
5.340708, -1.618034, -1.142506, -0.666977, -0.191449, 0.284079
5.372123, -1.580310, -1.096018, -0.611727, -0.127435, 0.356856
5.403539, -1.541026, -1.049883, -0.558739, -0.067596, 0.423548
5.434955, -1.500222, -1.004165, -0.508107, -0.012050, 0.484007
5.466371, -1.457937, -0.958924, -0.459911, 0.039103, 0.538116
5.497787, -1.414214, -0.914214, -0.414214, 0.085786, 0.585786
5.529203, -1.369094, -0.870081, -0.371067, 0.127946, 0.626959
5.560619, -1.322624, -0.826566, -0.330509, 0.165548, 0.661606
5.592035, -1.274848, -0.783704, -0.292561, 0.198583, 0.689727
5.623451, -1.225814, -0.741523, -0.257231, 0.227061, 0.711352
5.654867, -1.175571, -0.700042, -0.224514, 0.251014, 0.726543
5.686283, -1.124167, -0.659279, -0.194390, 0.270498, 0.735386
5.717699, -1.071654, -0.619240, -0.166827, 0.285587, 0.738001
5.749115, -1.018083, -0.579929, -0.141776, 0.296377, 0.734531
5.780530, -0.963507, -0.541343, -0.119179, 0.302985, 0.725149
5.811946, -0.907981, -0.503473, -0.098964, 0.305544, 0.710053
5.843362, -0.851559, -0.466302, -0.081045, 0.304211, 0.689468
5.874778, -0.794296, -0.429811, -0.065327, 0.299157, 0.663641
5.906194, -0.736249, -0.393976, -0.051702, 0.290572, 0.632845
5.937610, -0.677476, -0.358764, -0.040052, 0.278660, 0.597372
5.969026, -0.618034, -0.324141, -0.030249, 0.263644, 0.557537
6.000442, -0.557982, -0.290069, -0.022155, 0.245758, 0.513671
6.031858, -0.497380, -0.256503, -0.015626, 0.225251, 0.466128
6.063274, -0.436286, -0.223397, -0.010507, 0.202382, 0.415272
6.094690, -0.374763, -0.190700, -0.006638, 0.177424, 0.361486
6.126106, -0.312869, -0.158360, -0.003852, 0.150657, 0.305165
6.157522, -0.250666, -0.126322, -0.001977, 0.122368, 0.246713
6.188938, -0.188217, -0.094526, -0.000835, 0.092855, 0.186546
6.220353, -0.125581, -0.062914, -0.000248, 0.062419, 0.125085
6.251769, -0.062822, -0.031426, -0.000031, 0.031364, 0.062760
6.283185, -0.000000, -0.000000, 0.000000, 0.000000, 0.000000
